problem,solver,cost,gradient_norm_l2,damping,iters,cumulative_inner_solve_time,eta,cameras,points,cumulative_inner_solve_flops,loss,cumulative_solve_time,cumulative_solve_flops,nodes
0,pbjacobi,0.0147633,0.22399,0.0001,0,0,0.01,40402,80565,0,huber,0,0,36
1,pbjacobi,0.000846683,0.00268723,0.000100007,119,0.0978391,0.01,40402,80565,7.80897e+09,huber,0.211555,9.19677e+09,36
2,pbjacobi,0.000364391,0.000244088,3.33355e-05,133,0.206862,0.01,40402,80565,1.65358e+10,huber,0.347656,1.93113e+10,36
3,pbjacobi,0.000103384,0.000190914,1.11118e-05,206,0.365165,0.01,40402,80565,3.00482e+10,huber,0.532005,3.42116e+10,36
4,pbjacobi,2.66478e-05,0.000289291,3.70395e-06,324,0.611562,0.01,40402,80565,5.12965e+10,huber,0.804345,5.68477e+10,36
5,pbjacobi,1.65134e-05,5.37598e-05,1.23465e-06,12,0.624612,0.01,40402,80565,5.20908e+10,huber,0.843041,5.90298e+10,36
6,pbjacobi,9.86918e-06,5.40516e-05,4.1155e-07,15,0.640073,0.01,40402,80565,5.30818e+10,huber,0.884339,6.14086e+10,36
7,pbjacobi,5.26467e-06,5.95962e-05,1.37183e-07,16,0.655916,0.01,40402,80565,5.41384e+10,huber,0.925722,6.38529e+10,36
8,pbjacobi,2.32286e-06,6.83668e-05,4.57278e-08,16,0.672518,0.01,40402,80565,5.51949e+10,huber,0.967763,6.62973e+10,36
9,pbjacobi,6.47137e-07,0.000111414,1.52426e-08,16,0.689286,0.01,40402,80565,5.62515e+10,huber,1.01016,6.87416e+10,36
10,pbjacobi,1.35056e-07,8.26618e-05,1.21663e-08,13,0.70304,0.01,40402,80565,5.71114e+10,huber,1.05009,7.09893e+10,36
