problem,solver,cost,gradient_norm_l2,damping,iters,cumulative_inner_solve_time,eta,cameras,points,cumulative_inner_solve_flops,loss,cumulative_solve_time,cumulative_solve_flops,nodes
0,gamg,0.0147633,0.22399,0.0001,0,0,0.01,40402,80565,0,huber,0,0,36
1,gamg,0.000833185,0.0025713,0.00010001,16,0.617636,0.01,40402,80565,9.27858e+09,huber,0.730182,1.06664e+10,36
2,gamg,0.00035759,0.000273579,3.33367e-05,16,1.11414,0.01,40402,80565,1.85572e+10,huber,1.2537,2.13327e+10,36
3,gamg,0.000101268,0.000214407,1.11122e-05,25,1.62284,0.01,40402,80565,3.12987e+10,huber,1.78813,3.54621e+10,36
4,gamg,2.60736e-05,0.000278489,3.70407e-06,39,2.20295,0.01,40402,80565,4.94272e+10,huber,2.3941,5.49784e+10,36
5,gamg,8.0271e-06,0.000250186,1.23469e-06,56,2.89048,0.01,40402,80565,7.40969e+10,huber,3.10731,8.10359e+10,36
6,gamg,1.82555e-06,0.00010956,4.11564e-07,90,3.72754,0.01,40402,80565,1.11849e+11,huber,3.97019,1.20176e+11,36
7,gamg,2.79062e-07,3.40394e-05,1.37188e-07,145,4.83509,0.01,40402,80565,1.70764e+11,huber,5.10382,1.80479e+11,36
8,gamg,5.14569e-08,1.85556e-05,1.3713e-07,245,6.43501,0.01,40402,80565,2.68157e+11,huber,6.7307,2.79259e+11,36
9,gamg,2.66186e-08,6.59922e-06,1.12244e-07,252,8.1109,0.01,40402,80565,3.68243e+11,huber,8.4326,3.80733e+11,36
10,gamg,1.95096e-08,4.30915e-06,3.74148e-08,273,9.82229,0.01,40402,80565,4.7641e+11,huber,10.1702,4.90288e+11,36
