problem,solver,cost,gradient_norm_l2,damping,iters,cumulative_inner_solve_time,eta,cameras,points,cumulative_inner_solve_flops,loss,cumulative_solve_time,cumulative_solve_flops,nodes
0,pbjacobi,0.0144948,0.220264,0.0001,0,0,0.01,4468,8851,0,huber,0,0,4
1,pbjacobi,0.000107708,0.00272599,7.45615e-05,82,0.057714,0.01,4468,8851,5.91286e+08,huber,0.158506,7.43184e+08,4
2,pbjacobi,2.40362e-05,0.000277249,2.48538e-05,133,0.150837,0.01,4468,8851,1.5498e+09,huber,0.279003,1.85359e+09,4
3,pbjacobi,7.375e-06,0.00026595,8.28461e-06,192,0.274057,0.01,4468,8851,2.93314e+09,huber,0.429038,3.38883e+09,4
4,pbjacobi,1.58319e-06,0.000123336,2.76154e-06,312,0.466276,0.01,4468,8851,5.18054e+09,huber,0.645815,5.78813e+09,4
5,pbjacobi,3.35217e-07,5.64261e-05,9.20512e-07,567,0.813726,0.01,4468,8851,9.26407e+09,huber,1.01792,1.00236e+10,4
6,pbjacobi,1.33733e-07,5.88772e-05,3.06837e-07,1054,1.46912,0.01,4468,8851,1.68542e+10,huber,1.69938,1.77656e+10,4
7,pbjacobi,7.85022e-08,6.74157e-05,1.04731e-07,1580,2.42635,0.01,4468,8851,2.82319e+10,huber,2.68106,2.92952e+10,4
8,pbjacobi,4.45343e-08,7.76339e-05,1.02727e-07,2540,3.97439,0.01,4468,8851,4.6522e+10,huber,4.25372,4.77372e+10,4
9,pbjacobi,2.96594e-08,2.40625e-05,9.91015e-08,2571,5.54656,0.01,4468,8851,6.50354e+10,huber,5.85146,6.64024e+10,4
10,pbjacobi,2.15832e-08,1.0734e-05,3.30338e-08,2582,7.11189,0.01,4468,8851,8.36279e+10,huber,7.44152,8.51469e+10,4
