problem,solver,cost,gradient_norm_l2,damping,iters,cumulative_inner_solve_time,eta,cameras,points,cumulative_inner_solve_flops,loss,cumulative_solve_time,cumulative_solve_flops,nodes
0,gamg,0.0144948,0.220264,0.0001,0,0,0.01,4468,8851,0,huber,0,0,4
1,gamg,9.57134e-05,0.00257321,6.47745e-05,13,0.391856,0.01,4468,8851,8.67754e+08,huber,0.488982,1.01965e+09,4
2,gamg,1.95817e-05,0.000340585,2.15915e-05,20,0.685857,0.01,4468,8851,2.02491e+09,huber,0.807781,2.32871e+09,4
3,gamg,5.59352e-06,0.000246165,7.19717e-06,27,1.00409,0.01,4468,8851,3.47147e+09,huber,1.15068,3.92716e+09,4
4,gamg,1.12648e-06,9.83467e-05,2.39906e-06,44,1.3853,0.01,4468,8851,5.62085e+09,huber,1.55687,6.22845e+09,4
5,gamg,2.58574e-07,4.56981e-05,7.99686e-07,86,1.92437,0.01,4468,8851,9.50664e+09,huber,2.12069,1.02661e+10,4
6,gamg,1.16439e-07,5.99052e-05,2.66562e-07,136,2.64701,0.01,4468,8851,1.54596e+10,huber,2.86801,1.6371e+10,4
7,gamg,6.88401e-08,7.21733e-05,8.88539e-08,229,3.71273,0.01,4468,8851,2.52574e+10,huber,3.95846,2.63207e+10,4
8,gamg,3.78649e-08,8.2812e-05,8.845e-08,348,5.21713,0.01,4468,8851,3.99751e+10,huber,5.48767,4.11903e+10,4
9,gamg,2.45635e-08,2.3634e-05,8.81102e-08,348,6.72371,0.01,4468,8851,5.46927e+10,huber,7.01877,5.60598e+10,4
10,gamg,1.77111e-08,1.00789e-05,0.00135352,350,8.23619,0.01,4468,8851,6.94931e+10,huber,8.55579,7.10121e+10,4
