problem,solver,cost,gradient_norm_l2,damping,iters,cumulative_inner_solve_time,eta,cameras,points,cumulative_inner_solve_flops,loss,cumulative_solve_time,cumulative_solve_flops,nodes
0,pbjacobi,0.00429328,32.7385,0.0001,0,0,0.01,26389,29040,0,huber,0,0,4
1,pbjacobi,1.07936e-05,0.125046,3.33333e-05,61,0.656245,0.01,26389,29040,3.20544e+09,huber,3.04237,6.87613e+09,4
2,pbjacobi,2.46468e-06,0.035041,4.18676e-05,297,3.59571,0.01,26389,29040,1.8793e+10,huber,6.63959,2.61343e+10,4
3,pbjacobi,1.48109e-06,0.0104715,6.09994e-05,296,6.52536,0.01,26389,29040,3.4328e+10,huber,10.2207,4.53401e+10,4
4,pbjacobi,1.16453e-06,0.00341188,8.87497e-05,253,9.04059,0.01,26389,29040,4.7607e+10,huber,13.3872,6.22898e+10,4
5,pbjacobi,1.01722e-06,0.00138511,0.000127456,210,11.1404,0.01,26389,29040,5.86299e+10,huber,16.1387,7.69834e+10,4
6,pbjacobi,9.35976e-07,0.000803933,0.000181839,179,12.9437,0.01,26389,29040,6.80264e+10,huber,18.5927,9.00506e+10,4
7,pbjacobi,8.86933e-07,0.000643222,0.00025622,148,14.4425,0.01,26389,29040,7.57964e+10,huber,20.7425,1.01491e+11,4
8,pbjacobi,8.55417e-07,0.000619381,0.000355859,127,15.7381,0.01,26389,29040,8.24647e+10,huber,22.6978,1.1183e+11,4
9,pbjacobi,8.34223e-07,0.000571415,0.000493574,109,16.8571,0.01,26389,29040,8.81885e+10,huber,24.4679,1.21225e+11,4
10,pbjacobi,8.1966e-07,0.000553666,0.000680454,92,17.8137,0.01,26389,29040,9.30204e+10,huber,26.0755,1.29727e+11,4
11,pbjacobi,8.09449e-07,0.000549482,0.000927319,79,18.643,0.01,26389,29040,9.71702e+10,huber,27.5553,1.37548e+11,4
12,pbjacobi,8.0214e-07,0.000535557,0.0012606,66,19.3464,0.01,26389,29040,1.00638e+11,huber,28.91,1.44686e+11,4
13,pbjacobi,7.96857e-07,0.000544965,0.00171375,57,19.9639,0.01,26389,29040,1.03634e+11,huber,30.179,1.51353e+11,4
14,pbjacobi,7.93021e-07,0.000532753,0.00232455,49,20.5037,0.01,26389,29040,1.06209e+11,huber,31.3699,1.57599e+11,4
15,pbjacobi,7.9022e-07,0.000533892,0.00314789,42,20.9756,0.01,26389,29040,1.08418e+11,huber,32.4933,1.63478e+11,4
16,pbjacobi,7.88166e-07,0.000523457,0.00426268,36,21.3894,0.01,26389,29040,1.10312e+11,huber,33.558,1.69043e+11,4
17,pbjacobi,7.86657e-07,0.000523884,0.00574451,31,21.755,0.01,26389,29040,1.11943e+11,huber,34.5744,1.74345e+11,4
18,pbjacobi,7.85541e-07,0.000515999,0.00773708,27,22.0819,0.01,26389,29040,1.13365e+11,huber,35.552,1.79437e+11,4
19,pbjacobi,7.84715e-07,0.000515112,0.0104031,23,22.3694,0.01,26389,29040,1.14576e+11,huber,36.4906,1.8432e+11,4
20,pbjacobi,7.84102e-07,0.000511487,0.0139007,20,22.6275,0.01,26389,29040,1.15631e+11,huber,37.3998,1.89045e+11,4
21,pbjacobi,7.83643e-07,0.000515042,0.0186523,18,22.8663,0.01,26389,29040,1.1658e+11,huber,38.2894,1.93665e+11,4
22,pbjacobi,7.83302e-07,0.000512425,0.0249139,15,23.0762,0.01,26389,29040,1.17372e+11,huber,39.1492,1.98127e+11,4
23,pbjacobi,7.83047e-07,0.00050469,0.0332714,13,23.2665,0.01,26389,29040,1.18059e+11,huber,39.9904,2.02485e+11,4
24,pbjacobi,7.82856e-07,0.00050416,0.0446003,12,23.4477,0.01,26389,29040,1.18694e+11,huber,40.821,2.0679e+11,4
25,pbjacobi,7.82714e-07,0.000503774,0.0596296,10,23.6095,0.01,26389,29040,1.19223e+11,huber,41.6329,2.10991e+11,4
26,pbjacobi,7.82607e-07,0.000503029,0.0795948,9,23.7613,0.01,26389,29040,1.19701e+11,huber,42.4341,2.15139e+11,4
27,pbjacobi,7.82528e-07,0.000506135,0.106532,8,23.9035,0.01,26389,29040,1.20125e+11,huber,43.2256,2.19234e+11,4
28,pbjacobi,7.82468e-07,0.000500831,0.142935,7,24.0357,0.01,26389,29040,1.20498e+11,huber,44.0073,2.23277e+11,4
29,pbjacobi,7.82424e-07,0.000502031,0.191573,6,24.1587,0.01,26389,29040,1.20817e+11,huber,44.7813,2.27268e+11,4
30,pbjacobi,7.8239e-07,0.000503684,0.256943,5,24.2715,0.01,26389,29040,1.21085e+11,huber,45.5436,2.31206e+11,4
31,pbjacobi,7.82366e-07,0.000501195,0.344606,5,24.3844,0.01,26389,29040,1.21352e+11,huber,46.3062,2.35144e+11,4
32,pbjacobi,7.82347e-07,0.000500247,0.46227,4,24.4875,0.01,26389,29040,1.21567e+11,huber,47.0588,2.39029e+11,4
33,pbjacobi,7.82334e-07,0.000498885,0.619893,4,24.5908,0.01,26389,29040,1.21782e+11,huber,47.8121,2.42915e+11,4
34,pbjacobi,7.82323e-07,0.000495676,0.828826,3,24.6845,0.01,26389,29040,1.21944e+11,huber,48.5549,2.46748e+11,4
35,pbjacobi,7.82316e-07,0.000496371,1.11131,3,24.7779,0.01,26389,29040,1.22107e+11,huber,49.2976,2.50581e+11,4
36,pbjacobi,7.8231e-07,0.000497195,1.49125,3,24.8712,0.01,26389,29040,1.22269e+11,huber,50.0401,2.54414e+11,4
37,pbjacobi,7.82306e-07,0.000497768,2.00164,3,24.9646,0.01,26389,29040,1.22431e+11,huber,50.7832,2.58247e+11,4
38,pbjacobi,7.82303e-07,0.000498088,2.68685,3,25.0582,0.01,26389,29040,1.22594e+11,huber,51.5267,2.6208e+11,4
39,pbjacobi,7.823e-07,0.000498341,3.60458,2,25.1421,0.01,26389,29040,1.22704e+11,huber,52.2829,2.65861e+11,4
40,pbjacobi,7.82298e-07,0.000498354,4.83701,2,25.2269,0.01,26389,29040,1.22814e+11,huber,53.018,2.69641e+11,4
41,pbjacobi,7.82297e-07,0.000498352,6.49159,2,25.3107,0.01,26389,29040,1.22923e+11,huber,53.7515,2.73422e+11,4
