problem,solver,cost,gradient_norm_l2,damping,iters,cumulative_inner_solve_time,eta,cameras,points,cumulative_inner_solve_flops,loss,cumulative_solve_time,cumulative_solve_flops,nodes
0,gamg,0.00429285,0.127966,0.0001,0,0,0.01,26389,29040,0,huber,0,0,4
1,gamg,9.02604e-06,0.00044578,3.33333e-05,11,5.18671,0.01,26389,29040,8.1591e+09,huber,7.59131,1.17392e+10,4
2,gamg,2.10819e-06,0.000136682,4.31913e-05,45,12.0512,0.01,26389,29040,2.5541e+10,huber,15.074,3.27013e+10,4
3,gamg,1.30992e-06,3.42209e-05,6.34255e-05,48,18.9979,0.01,26389,29040,4.37368e+10,huber,22.6353,5.44771e+10,4
4,gamg,1.04564e-06,1.19171e-05,9.28746e-05,42,25.6634,0.01,26389,29040,6.03049e+10,huber,29.9156,7.46254e+10,4
5,gamg,9.21096e-07,5.05027e-06,0.000134241,36,32.0094,0.01,26389,29040,7.52455e+10,huber,36.8759,9.31461e+10,4
6,gamg,8.52066e-07,2.9487e-06,0.000191391,31,38.1157,0.01,26389,29040,8.88298e+10,huber,43.5965,1.1031e+11,4
7,gamg,8.10061e-07,2.34549e-06,0.000271574,27,44.0255,0.01,26389,29040,1.01329e+11,huber,50.1205,1.2639e+11,4
8,gamg,7.83134e-07,2.11272e-06,0.000382599,23,49.7633,0.01,26389,29040,1.12743e+11,huber,56.4731,1.41384e+11,4
9,gamg,7.65213e-07,1.99184e-06,0.000532805,20,55.3467,0.01,26389,29040,1.23344e+11,huber,62.6882,1.55565e+11,4
10,gamg,7.52913e-07,1.92896e-06,0.000741053,17,60.7465,0.01,26389,29040,1.3313e+11,huber,68.7065,1.68932e+11,4
