problem,solver,cost,gradient_norm_l2,damping,iters,cumulative_inner_solve_time,eta,cameras,points,cumulative_inner_solve_flops,loss,cumulative_solve_time,cumulative_solve_flops,nodes
0,gamg,0.00429285,0.127966,0.0001,0,0,0.01,26389,29040,0,huber,0,0,16
1,gamg,8.58234e-06,0.000448444,3.33333e-05,11,1.58664,0.01,26389,29040,8.16963e+09,huber,2.3098,1.17497e+10,16
2,gamg,2.07345e-06,0.000129838,4.14803e-05,46,3.30926,0.01,26389,29040,2.58357e+10,huber,4.19931,3.29959e+10,16
3,gamg,1.28074e-06,3.60105e-05,5.81406e-05,49,5.05006,0.01,26389,29040,4.43158e+10,huber,6.1061,5.50561e+10,16
4,gamg,1.01161e-06,1.34085e-05,8.03788e-05,43,6.77305,0.01,26389,29040,6.11679e+10,huber,7.99769,7.54883e+10,16
5,gamg,8.81044e-07,5.85405e-06,0.000110304,37,8.42463,0.01,26389,29040,7.6392e+10,huber,9.81551,9.42926e+10,16
6,gamg,8.06847e-07,3.24278e-06,0.00014982,32,10.0393,0.01,26389,29040,9.02595e+10,huber,11.5973,1.1174e+11,16
7,gamg,7.6055e-07,2.35496e-06,0.000201672,28,11.6147,0.01,26389,29040,1.03042e+11,huber,13.3388,1.28102e+11,16
8,gamg,7.2988e-07,2.03466e-06,0.000266468,25,13.163,0.01,26389,29040,1.1501e+11,huber,15.0552,1.43651e+11,16
9,gamg,7.08503e-07,1.88905e-06,0.000351562,22,14.7004,0.01,26389,29040,1.26164e+11,huber,16.7587,1.58385e+11,16
10,gamg,6.93241e-07,1.77811e-06,0.000457531,20,16.2214,0.01,26389,29040,1.36776e+11,huber,18.446,1.72577e+11,16
