problem,solver,cost,gradient_norm_l2,damping,iters,cumulative_inner_solve_time,eta,cameras,points,cumulative_inner_solve_flops,loss,cumulative_solve_time,cumulative_solve_flops,nodes
0,pbjacobi,0.00429328,32.7385,0.0001,0,0,0.01,26389,29040,0,huber,0,0,16
1,pbjacobi,1.07936e-05,0.125046,3.33333e-05,61,0.0996349,0.01,26389,29040,3.20545e+09,huber,0.834047,6.87614e+09,16
2,pbjacobi,2.46512e-06,0.0350741,4.18281e-05,296,0.524928,0.01,26389,29040,1.87405e+10,huber,1.45176,2.60819e+10,16
3,pbjacobi,1.48096e-06,0.0104596,6.09552e-05,296,0.941977,0.01,26389,29040,3.42756e+10,huber,2.03963,4.52877e+10,16
4,pbjacobi,1.16432e-06,0.00342541,8.86412e-05,254,1.29689,0.01,26389,29040,4.76072e+10,huber,2.5661,6.22899e+10,16
5,pbjacobi,1.01695e-06,0.0013812,0.000127178,210,1.59275,0.01,26389,29040,5.86301e+10,huber,3.03307,7.69836e+10,16
6,pbjacobi,9.35608e-07,0.000808145,0.000181226,179,1.84701,0.01,26389,29040,6.80266e+10,huber,3.45837,9.00508e+10,16
7,pbjacobi,8.86466e-07,0.000643792,0.000254957,148,2.05978,0.01,26389,29040,7.57967e+10,huber,3.84223,1.01492e+11,16
8,pbjacobi,8.54841e-07,0.000595347,0.000353413,129,2.24737,0.01,26389,29040,8.25699e+10,huber,4.20072,1.11935e+11,16
9,pbjacobi,8.33545e-07,0.000570359,0.000489809,109,2.40816,0.01,26389,29040,8.82937e+10,huber,4.53237,1.2133e+11,16
10,pbjacobi,8.18905e-07,0.000553455,0.000674286,92,2.54644,0.01,26389,29040,9.31256e+10,huber,4.84146,1.29833e+11,16
11,pbjacobi,8.08627e-07,0.000540455,0.000917375,79,2.66763,0.01,26389,29040,9.72755e+10,huber,5.13376,1.37653e+11,16
12,pbjacobi,8.01259e-07,0.000543799,0.00124542,66,2.77105,0.01,26389,29040,1.00743e+11,huber,5.40804,1.44792e+11,16
13,pbjacobi,7.95928e-07,0.00054267,0.00169049,57,2.86206,0.01,26389,29040,1.03739e+11,huber,5.67,1.51458e+11,16
14,pbjacobi,7.92052e-07,0.000530388,0.00228918,49,2.94262,0.01,26389,29040,1.06315e+11,huber,5.92154,1.57704e+11,16
15,pbjacobi,7.89216e-07,0.00052194,0.00309422,42,3.01396,0.01,26389,29040,1.08523e+11,huber,6.16412,1.63584e+11,16
16,pbjacobi,7.87133e-07,0.000519308,0.00418435,37,3.0783,0.01,26389,29040,1.1047e+11,huber,6.3994,1.69201e+11,16
17,pbjacobi,7.85601e-07,0.000515104,0.0056319,32,3.1367,0.01,26389,29040,1.12153e+11,huber,6.62903,1.74555e+11,16
18,pbjacobi,7.84467e-07,0.000518085,0.0075719,27,3.18891,0.01,26389,29040,1.13575e+11,huber,6.85246,1.79648e+11,16
19,pbjacobi,7.83625e-07,0.000519765,0.0101658,24,3.23661,0.01,26389,29040,1.14839e+11,huber,7.07119,1.84582e+11,16
20,pbjacobi,7.83e-07,0.000504467,0.013601,21,3.2801,0.01,26389,29040,1.15946e+11,huber,7.28566,1.8936e+11,16
21,pbjacobi,7.82533e-07,0.000519824,0.0181924,18,3.31952,0.01,26389,29040,1.16895e+11,huber,7.4961,1.9398e+11,16
22,pbjacobi,7.82185e-07,0.000504339,0.0242453,16,3.35614,0.01,26389,29040,1.1774e+11,huber,7.7036,1.98495e+11,16
23,pbjacobi,7.81923e-07,0.000516111,0.0323277,14,3.39008,0.01,26389,29040,1.18479e+11,huber,7.90863,2.02905e+11,16
24,pbjacobi,7.81728e-07,0.000502799,0.0432083,12,3.42125,0.01,26389,29040,1.19114e+11,huber,8.111,2.07211e+11,16
25,pbjacobi,7.81581e-07,0.000505489,0.0575686,10,3.44994,0.01,26389,29040,1.19644e+11,huber,8.31087,2.11411e+11,16
26,pbjacobi,7.81471e-07,0.00050211,0.0766404,9,3.47813,0.01,26389,29040,1.20121e+11,huber,8.51054,2.15559e+11,16
27,pbjacobi,7.81389e-07,0.000506859,0.102336,8,3.50405,0.01,26389,29040,1.20545e+11,huber,8.70761,2.19654e+11,16
28,pbjacobi,7.81327e-07,0.000500279,0.137023,7,3.52886,0.01,26389,29040,1.20918e+11,huber,8.90398,2.23697e+11,16
29,pbjacobi,7.81281e-07,0.000501285,0.183257,6,3.55201,0.01,26389,29040,1.21238e+11,huber,9.09801,2.27688e+11,16
30,pbjacobi,7.81246e-07,0.000503197,0.245227,5,3.57393,0.01,26389,29040,1.21505e+11,huber,9.29095,2.31626e+11,16
31,pbjacobi,7.81221e-07,0.000500005,0.328119,5,3.59603,0.01,26389,29040,1.21772e+11,huber,9.48438,2.35564e+11,16
32,pbjacobi,7.81201e-07,0.000499857,0.439326,4,3.61686,0.01,26389,29040,1.21987e+11,huber,9.67626,2.39449e+11,16
33,pbjacobi,7.81187e-07,0.000498152,0.587834,4,3.63759,0.01,26389,29040,1.22202e+11,huber,9.86811,2.43335e+11,16
34,pbjacobi,7.81176e-07,0.000494621,0.784062,3,3.65672,0.01,26389,29040,1.22364e+11,huber,10.0584,2.47168e+11,16
35,pbjacobi,7.81168e-07,0.00049528,1.04895,3,3.6759,0.01,26389,29040,1.22527e+11,huber,10.2487,2.51001e+11,16
36,pbjacobi,7.81162e-07,0.000496145,1.40453,3,3.69505,0.01,26389,29040,1.22689e+11,huber,10.4388,2.54834e+11,16
37,pbjacobi,7.81158e-07,0.000496782,1.88129,3,3.71455,0.01,26389,29040,1.22851e+11,huber,10.6294,2.58667e+11,16
38,pbjacobi,7.81154e-07,0.000497146,2.52006,3,3.73369,0.01,26389,29040,1.23014e+11,huber,10.8198,2.625e+11,16
39,pbjacobi,7.81152e-07,0.000497333,3.37564,3,3.75283,0.01,26389,29040,1.23176e+11,huber,11.0102,2.66333e+11,16
40,pbjacobi,7.8115e-07,0.000497456,4.5199,2,3.77063,0.01,26389,29040,1.23286e+11,huber,11.1994,2.70114e+11,16
41,pbjacobi,7.81148e-07,0.000497472,6.05309,2,3.78845,0.01,26389,29040,1.23396e+11,huber,11.3882,2.73895e+11,16
42,pbjacobi,7.81147e-07,0.000497477,8.10694,2,3.80621,0.01,26389,29040,1.23506e+11,huber,11.5772,2.77675e+11,16
43,pbjacobi,7.81147e-07,0.000497482,10.8579,2,3.82417,0.01,26389,29040,1.23616e+11,huber,11.766,2.81456e+11,16
44,pbjacobi,7.81146e-07,0.000497487,14.5425,2,3.8419,0.01,26389,29040,1.23726e+11,huber,11.9546,2.85236e+11,16
45,pbjacobi,7.81146e-07,0.000497492,19.4771,2,3.85973,0.01,26389,29040,1.23836e+11,huber,12.1435,2.89017e+11,16
46,pbjacobi,7.81145e-07,0.000497496,26.086,2,3.87757,0.01,26389,29040,1.23946e+11,huber,12.3334,2.92798e+11,16
47,pbjacobi,7.81145e-07,0.000497498,34.9371,2,3.89541,0.01,26389,29040,1.24056e+11,huber,12.5219,2.96578e+11,16
