problem,solver,cost,gradient_norm_l2,damping,iters,cumulative_inner_solve_time,eta,cameras,points,cumulative_inner_solve_flops,loss,cumulative_solve_time,cumulative_solve_flops,nodes
0,pbjacobi,0.00429328,32.7385,0.0001,0,0,0.01,26389,29040,0,huber,0,0,32
1,pbjacobi,1.07936e-05,0.125046,3.33333e-05,61,0.0518239,0.01,26389,29040,3.20553e+09,huber,0.446217,6.87622e+09,32
2,pbjacobi,2.46468e-06,0.0350466,4.18676e-05,297,0.544524,0.01,26389,29040,1.87935e+10,huber,1.03583,2.61349e+10,32
3,pbjacobi,1.48109e-06,0.0104731,6.09993e-05,296,0.767891,0.01,26389,29040,3.43289e+10,huber,1.35205,4.5341e+10,32
4,pbjacobi,1.16453e-06,0.00341919,8.87492e-05,253,0.958843,0.01,26389,29040,4.76083e+10,huber,1.63647,6.22911e+10,32
5,pbjacobi,1.01722e-06,0.00138316,0.000127451,210,1.12295,0.01,26389,29040,5.86315e+10,huber,1.89359,7.6985e+10,32
6,pbjacobi,9.35972e-07,0.000806444,0.000181821,179,1.26556,0.01,26389,29040,6.80282e+10,huber,2.12926,9.00524e+10,32
7,pbjacobi,8.86926e-07,0.000643853,0.000256208,148,1.41196,0.01,26389,29040,7.57985e+10,huber,2.36863,1.01493e+11,32
8,pbjacobi,8.55408e-07,0.000618885,0.000355851,127,1.5815,0.01,26389,29040,8.24669e+10,huber,2.63159,1.11832e+11,32
9,pbjacobi,8.34217e-07,0.000583244,0.000493912,108,1.66946,0.01,26389,29040,8.81384e+10,huber,2.81265,1.21175e+11,32
10,pbjacobi,8.19666e-07,0.000569436,0.000680698,91,1.74359,0.01,26389,29040,9.2918e+10,huber,2.97992,1.29625e+11,32
11,pbjacobi,8.09458e-07,0.000542324,0.000927217,79,1.80907,0.01,26389,29040,9.70679e+10,huber,3.13874,1.37446e+11,32
12,pbjacobi,8.02148e-07,0.000542441,0.00125996,66,2.10955,0.01,26389,29040,1.00536e+11,huber,3.5332,1.44584e+11,32
13,pbjacobi,7.96862e-07,0.00053906,0.00171222,57,2.15772,0.01,26389,29040,1.03531e+11,huber,3.67475,1.5125e+11,32
14,pbjacobi,7.93023e-07,0.000531992,0.00232164,49,2.37012,0.01,26389,29040,1.06107e+11,huber,4.00091,1.57497e+11,32
15,pbjacobi,7.90218e-07,0.000522238,0.00314322,42,2.40705,0.01,26389,29040,1.08316e+11,huber,4.13189,1.63376e+11,32
16,pbjacobi,7.88161e-07,0.000532748,0.00425457,36,2.48293,0.01,26389,29040,1.1021e+11,huber,4.31503,1.68941e+11,32
17,pbjacobi,7.86649e-07,0.000516488,0.00573176,31,2.51276,0.01,26389,29040,1.11841e+11,huber,4.43806,1.74243e+11,32
18,pbjacobi,7.85531e-07,0.000513234,0.00771763,27,2.5396,0.01,26389,29040,1.13263e+11,huber,4.56061,1.79335e+11,32
19,pbjacobi,7.84702e-07,0.0005114,0.0103768,24,2.56362,0.01,26389,29040,1.14527e+11,huber,4.67759,1.8427e+11,32
20,pbjacobi,7.84088e-07,0.000512489,0.0138728,20,2.58462,0.01,26389,29040,1.15581e+11,huber,4.7916,1.88995e+11,32
21,pbjacobi,7.83628e-07,0.000515258,0.0186143,18,2.6053,0.01,26389,29040,1.16531e+11,huber,4.90514,1.93616e+11,32
22,pbjacobi,7.83287e-07,0.000510792,0.0248574,15,2.65601,0.01,26389,29040,1.17323e+11,huber,5.07058,1.98078e+11,32
23,pbjacobi,7.83031e-07,0.000507111,0.0332317,14,2.70747,0.01,26389,29040,1.18062e+11,huber,5.21535,2.02488e+11,32
24,pbjacobi,7.8284e-07,0.000504019,0.0445162,12,2.76535,0.01,26389,29040,1.18697e+11,huber,5.36625,2.06794e+11,32
25,pbjacobi,7.82697e-07,0.000503945,0.059479,10,2.82039,0.01,26389,29040,1.19227e+11,huber,5.52098,2.10994e+11,32
26,pbjacobi,7.8259e-07,0.000502361,0.0793463,9,2.83801,0.01,26389,29040,1.19704e+11,huber,5.63351,2.15142e+11,32
27,pbjacobi,7.8251e-07,0.000505808,0.106129,8,2.85045,0.01,26389,29040,1.20129e+11,huber,5.73938,2.19237e+11,32
28,pbjacobi,7.8245e-07,0.000500879,0.142318,7,2.86239,0.01,26389,29040,1.20501e+11,huber,5.84411,2.2328e+11,32
29,pbjacobi,7.82406e-07,0.000501659,0.19065,6,2.87453,0.01,26389,29040,1.20821e+11,huber,5.94967,2.27271e+11,32
30,pbjacobi,7.82373e-07,0.000503379,0.255541,5,2.88541,0.01,26389,29040,1.21088e+11,huber,6.05436,2.31209e+11,32
31,pbjacobi,7.82348e-07,0.000499991,0.342443,5,2.89645,0.01,26389,29040,1.21355e+11,huber,6.15871,2.35147e+11,32
32,pbjacobi,7.82329e-07,0.00050064,0.459462,4,2.90687,0.01,26389,29040,1.2157e+11,huber,6.26559,2.39032e+11,32
33,pbjacobi,7.82315e-07,0.000499182,0.615878,4,2.91703,0.01,26389,29040,1.21785e+11,huber,6.36961,2.42918e+11,32
34,pbjacobi,7.82305e-07,0.000495654,0.822961,3,2.92646,0.01,26389,29040,1.21947e+11,huber,6.47671,2.46751e+11,32
35,pbjacobi,7.82297e-07,0.000496356,1.10288,3,2.93588,0.01,26389,29040,1.2211e+11,huber,6.58046,2.50584e+11,32
36,pbjacobi,7.82292e-07,0.000497187,1.47918,3,2.94542,0.01,26389,29040,1.22272e+11,huber,6.68474,2.54417e+11,32
37,pbjacobi,7.82287e-07,0.000497765,1.98445,3,2.95428,0.01,26389,29040,1.22435e+11,huber,6.78668,2.5825e+11,32
38,pbjacobi,7.82284e-07,0.00049809,2.66247,3,2.96311,0.01,26389,29040,1.22597e+11,huber,6.88859,2.62083e+11,32
39,pbjacobi,7.82282e-07,0.000498349,3.57008,2,2.97122,0.01,26389,29040,1.22707e+11,huber,6.98976,2.65864e+11,32
40,pbjacobi,7.8228e-07,0.000498361,4.78834,2,2.97928,0.01,26389,29040,1.22817e+11,huber,7.09119,2.69645e+11,32
41,pbjacobi,7.82279e-07,0.000498358,6.42308,2,2.98801,0.01,26389,29040,1.22927e+11,huber,7.19382,2.73425e+11,32
42,pbjacobi,7.82278e-07,0.000498362,8.61641,2,2.99606,0.01,26389,29040,1.23037e+11,huber,7.29526,2.77206e+11,32
43,pbjacobi,7.82277e-07,0.000498368,11.5588,2,3.00428,0.01,26389,29040,1.23147e+11,huber,7.39631,2.80987e+11,32
44,pbjacobi,7.82276e-07,0.000498374,15.506,2,3.01244,0.01,26389,29040,1.23257e+11,huber,7.49822,2.84767e+11,32
45,pbjacobi,7.82276e-07,0.00049838,20.8008,2,3.02943,0.01,26389,29040,1.23366e+11,huber,7.61326,2.88548e+11,32
46,pbjacobi,7.82276e-07,0.000498383,27.9034,2,3.03802,0.01,26389,29040,1.23476e+11,huber,7.7177,2.92328e+11,32
47,pbjacobi,7.82275e-07,0.000498386,37.4319,2,3.04922,0.01,26389,29040,1.23586e+11,huber,7.82515,2.96109e+11,32
48,pbjacobi,7.82275e-07,0.000498388,50.212,2,3.05723,0.01,26389,29040,1.23696e+11,huber,7.92629,2.9989e+11,32
49,pbjacobi,7.82275e-07,0.00049839,67.3573,2,3.06525,0.01,26389,29040,1.23806e+11,huber,8.02759,3.0367e+11,32
50,pbjacobi,7.82275e-07,0.000498391,90.3574,2,3.07698,0.01,26389,29040,1.23916e+11,huber,8.1434,3.07451e+11,32
51,pbjacobi,7.82275e-07,0.000498392,121.209,2,3.08523,0.01,26389,29040,1.24026e+11,huber,8.24774,3.11232e+11,32
52,pbjacobi,7.82275e-07,0.000498392,162.585,2,3.09428,0.01,26389,29040,1.24136e+11,huber,8.35169,3.15012e+11,32
53,pbjacobi,7.82275e-07,0.000498394,218.095,2,3.1024,0.01,26389,29040,1.24246e+11,huber,8.45319,3.18793e+11,32
54,pbjacobi,7.82275e-07,0.000498394,292.544,2,3.11179,0.01,26389,29040,1.24356e+11,huber,8.55604,3.22573e+11,32
55,pbjacobi,7.82275e-07,0.000498394,392.517,2,3.11986,0.01,26389,29040,1.24466e+11,huber,8.65706,3.26354e+11,32
56,pbjacobi,7.82275e-07,0.000498394,526.551,2,3.12801,0.01,26389,29040,1.24576e+11,huber,8.75825,3.30135e+11,32
57,pbjacobi,7.82275e-07,0.000498394,706.25,2,3.13651,0.01,26389,29040,1.24686e+11,huber,8.86163,3.33915e+11,32
58,pbjacobi,7.82275e-07,0.000498394,947.579,2,3.14456,0.01,26389,29040,1.24795e+11,huber,8.96249,3.37696e+11,32
59,pbjacobi,7.82275e-07,0.000498394,1270.83,2,3.15263,0.01,26389,29040,1.24905e+11,huber,9.06345,3.41476e+11,32
60,pbjacobi,7.82275e-07,0.000498394,1704.86,2,3.16071,0.01,26389,29040,1.25015e+11,huber,9.16456,3.45257e+11,32
61,pbjacobi,7.82275e-07,0.000498394,2286.7,2,3.16881,0.01,26389,29040,1.25125e+11,huber,9.26665,3.49038e+11,32
62,pbjacobi,7.82275e-07,0.000498394,3069.94,2,3.17691,0.01,26389,29040,1.25235e+11,huber,9.36799,3.52818e+11,32
63,pbjacobi,7.82275e-07,0.000498394,4113.24,2,3.18504,0.01,26389,29040,1.25345e+11,huber,9.46897,3.56599e+11,32
