problem,solver,cost,gradient_norm_l2,damping,iters,cumulative_inner_solve_time,eta,cameras,points,cumulative_inner_solve_flops,loss,cumulative_solve_time,cumulative_solve_flops,nodes
0,gamg,0.00429285,0.127966,0.0001,0,0,0.01,26389,29040,0,huber,0,0,8
1,gamg,8.69028e-06,0.000431622,3.33333e-05,11,2.83698,0.01,26389,29040,8.16121e+09,huber,4.12297,1.17413e+10,8
2,gamg,2.05127e-06,0.000134,4.34394e-05,44,6.3462,0.01,26389,29040,2.52713e+10,huber,7.94674,3.24315e+10,8
3,gamg,1.27907e-06,3.14327e-05,6.45874e-05,46,9.90283,0.01,26389,29040,4.29237e+10,huber,11.8165,5.3664e+10,8
4,gamg,1.02588e-06,1.10706e-05,9.52798e-05,40,13.3128,0.01,26389,29040,5.8949e+10,huber,15.54,7.32694e+10,8
5,gamg,9.06968e-07,4.78685e-06,0.000138239,34,16.5788,0.01,26389,29040,7.33473e+10,huber,19.1191,9.12478e+10,8
6,gamg,8.41077e-07,2.90369e-06,0.000200764,29,19.7284,0.01,26389,29040,8.63897e+10,huber,22.5818,1.0787e+11,8
7,gamg,8.01555e-07,2.30344e-06,0.000287239,25,22.789,0.01,26389,29040,9.83473e+10,huber,25.9566,1.23408e+11,8
8,gamg,7.76342e-07,2.12043e-06,0.000408625,21,25.7632,0.01,26389,29040,1.0922e+11,huber,29.2447,1.37861e+11,8
9,gamg,7.59668e-07,1.97222e-06,0.000576177,19,28.727,0.01,26389,29040,1.19551e+11,huber,32.5222,1.51772e+11,8
10,gamg,7.48337e-07,1.92532e-06,0.00080529,16,31.6165,0.01,26389,29040,1.29068e+11,huber,35.7253,1.64869e+11,8
