problem,solver,cost,gradient_norm_l2,damping,iters,cumulative_inner_solve_time,eta,cameras,points,cumulative_inner_solve_flops,loss,cumulative_solve_time,cumulative_solve_flops,nodes
0,pbjacobi,25.3343,5909.16,0.0001,0,0,0.01,98925,273524,0,huber,0,0,16
1,pbjacobi,0.159066,36.0375,3.33333e-05,89,11.9822,0.01,98925,273524,2.06489e+11,huber,220.158,1.44063e+12,16
2,pbjacobi,0.0367389,20.3573,1.11111e-05,293,50.6987,0.01,98925,273524,8.86236e+11,huber,326.426,3.35451e+12,16
3,pbjacobi,0.00970718,5.86774,3.7037e-06,533,120.947,0.01,98925,273524,2.12276e+12,huber,464.212,5.82517e+12,16
4,pbjacobi,0.00311872,12.4576,1.23457e-06,1018,254.89,0.01,98925,273524,4.48442e+12,huber,665.677,9.42097e+12,16
5,pbjacobi,0.000955655,3.66106,4.11523e-07,1581,462.863,0.01,98925,273524,8.15219e+12,huber,941.171,1.43229e+13,16
6,pbjacobi,0.000291421,2.55816,1.37174e-07,2434,782.883,0.01,98925,273524,1.37988e+13,huber,1328.73,2.12036e+13,16
7,pbjacobi,8.74421e-05,1.98835,4.57247e-08,3176,1200.15,0.01,98925,273524,2.11668e+13,huber,1813.5,2.98058e+13,16
8,pbjacobi,3.0686e-05,1.85518,1.52416e-08,3445,1652.56,0.01,98925,273524,2.91589e+13,huber,2333.44,3.9032e+13,16
9,pbjacobi,1.91402e-05,1.96072,1.46884e-08,6951,2565.51,0.01,98925,273524,4.52844e+13,huber,3313.95,5.63917e+13,16
