problem,solver,cost,gradient_norm_l2,damping,iters,cumulative_inner_solve_time,eta,cameras,points,cumulative_inner_solve_flops,loss,cumulative_solve_time,cumulative_solve_flops,nodes
0,gamg,25.3344,10.1531,0.0001,0,0,0.01,98925,273524,0,huber,0,0,16
1,gamg,0.144682,0.0695819,3.33333e-05,18,74.5284,0.01,98925,273524,4.50784e+11,huber,284.957,1.68033e+12,16
2,gamg,0.0323453,0.0670717,1.11111e-05,53,171.92,0.01,98925,273524,1.30777e+12,huber,449.133,3.76687e+12,16
3,gamg,0.00879919,0.0123095,3.7037e-06,88,292.299,0.01,98925,273524,2.57096e+12,huber,636.268,6.2596e+12,16
4,gamg,0.00286346,0.0232136,1.23457e-06,159,459.347,0.01,98925,273524,4.65816e+12,huber,870.056,9.57635e+12,16
5,gamg,0.000894546,0.0098454,4.11523e-07,260,692.406,0.01,98925,273524,7.91755e+12,huber,1169.87,1.40653e+13,16
6,gamg,0.000275884,0.00800651,0.000294334,389,1010.24,0.01,98925,273524,1.26741e+13,huber,1554.41,2.00514e+13,16
7,gamg,0.000258832,1.46857e-05,9.81113e-05,21,1086.61,0.01,98925,273524,1.31597e+13,huber,1697.48,2.17665e+13,16
8,gamg,0.000257388,1.21337e-05,3.27038e-05,37,1173.7,0.01,98925,273524,1.3831e+13,huber,1851.27,2.36674e+13,16
9,gamg,0.000253241,1.3365e-05,1.09013e-05,60,1276.02,0.01,98925,273524,1.47692e+13,huber,2020.3,2.58351e+13,16
10,gamg,0.000241889,2.027e-05,3.63375e-06,97,1402.32,0.01,98925,273524,1.61368e+13,huber,2213.3,2.84323e+13,16
