problem,solver,cost,gradient_norm_l2,damping,iters,cumulative_inner_solve_time,eta,cameras,points,cumulative_inner_solve_flops,loss,cumulative_solve_time,cumulative_solve_flops,nodes
0,pbjacobi,25.3343,5909.16,0.0001,0,0,0.01,98925,273524,0,huber,0,0,64
1,pbjacobi,0.156239,35.5881,3.33333e-05,91,4.37309,0.01,98925,273524,2.11132e+11,huber,72.6556,1.44527e+12,64
2,pbjacobi,0.0364588,19.9136,1.11111e-05,295,18.2615,0.01,98925,273524,8.95529e+11,huber,108.737,3.3638e+12,64
3,pbjacobi,0.00967796,5.66785,3.7037e-06,528,43.4774,0.01,98925,273524,2.12047e+12,huber,156.152,5.82288e+12,64
4,pbjacobi,0.00310038,12.5203,1.23457e-06,1029,94.9238,0.01,98925,273524,4.50769e+12,huber,229.786,9.44424e+12,64
5,pbjacobi,0.000953162,3.67342,4.11523e-07,1587,170.377,0.01,98925,273524,8.18943e+12,huber,327.422,1.43601e+13,64
6,pbjacobi,0.000292219,2.93499,1.37174e-07,2437,285.523,0.01,98925,273524,1.38431e+13,huber,464.775,2.12479e+13,64
7,pbjacobi,8.74588e-05,2.01094,4.57247e-08,3174,438.957,0.01,98925,273524,2.12066e+13,huber,640.409,2.98455e+13,64
8,pbjacobi,3.06171e-05,1.81085,1.52416e-08,3450,600.254,0.01,98925,273524,2.92103e+13,huber,823.89,3.90834e+13,64
9,pbjacobi,1.88005e-05,1.91147,1.44871e-08,6967,929.794,0.01,98925,273524,4.53733e+13,huber,1175.61,5.64805e+13,64
10,pbjacobi,6.92197e-06,0.630406,4.82903e-09,6949,1256.43,0.01,98925,273524,6.14944e+13,huber,1524.42,7.38358e+13,64
