problem,solver,cost,gradient_norm_l2,damping,iters,cumulative_inner_solve_time,eta,cameras,points,cumulative_inner_solve_flops,loss,cumulative_solve_time,cumulative_solve_flops,nodes
0,gamg,25.3344,10.1531,0.0001,0,0,0.01,98925,273524,0,huber,0,0,64
1,gamg,0.142314,0.070435,3.33333e-05,19,23.2543,0.01,98925,273524,4.62646e+11,huber,91.4576,1.69219e+12,64
2,gamg,0.0315745,0.0537658,1.11111e-05,53,54.1667,0.01,98925,273524,1.3199e+12,huber,144.286,3.77899e+12,64
3,gamg,0.00865949,0.0154462,3.7037e-06,89,93.5221,0.01,98925,273524,2.59497e+12,huber,205.55,6.28361e+12,64
4,gamg,0.00283734,0.0243908,1.23457e-06,158,148.558,0.01,98925,273524,4.67086e+12,huber,282.471,9.58905e+12,64
5,gamg,0.000881439,0.0102355,4.11523e-07,259,228.138,0.01,98925,273524,7.91897e+12,huber,383.942,1.40667e+13,64
6,gamg,0.000272735,0.00833132,0.000473082,383,337.681,0.01,98925,273524,1.26062e+13,huber,515.378,1.99835e+13,64
7,gamg,0.000254745,1.64854e-05,0.000157694,16,360.171,0.01,98925,273524,1.30341e+13,huber,559.784,2.16409e+13,64
8,gamg,0.000253849,1.15794e-05,5.25646e-05,30,385.814,0.01,98925,273524,1.36244e+13,huber,607.317,2.34607e+13,64
9,gamg,0.000251259,1.257e-05,1.75215e-05,49,415.787,0.01,98925,273524,1.44352e+13,huber,659.178,2.55011e+13,64
10,gamg,0.000243963,1.54188e-05,5.84052e-06,76,452.335,0.01,98925,273524,1.55594e+13,huber,717.624,2.78549e+13,64
